TIME(s), ROOM SIZE, GENERATED ROOM, ARCHETYPE, GENERATION BIAS,PARENT,TREE LAYER
313.0498,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x3 Rectangle Archetype ,17
313.2566,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x3 Rectangle Archetype ,18
313.7868,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x3 Rectangle Archetype ,18
313.9439,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,19
314.309,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x3 Rectangle Archetype ,20
314.8466,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x3 Rectangle Archetype ,20
315.0569,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x1 Square Archetype ,21
315.3818,3x3,2x3 Rectangle Sample Room Variant(Clone),2x3 Rectangle Archetype ,30,1x2 Rectangle Archetype ,22
315.7505,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,22
315.9503,3x3,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x2 Rectangle Archetype ,23
316.6408,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,23
317.0103,3x3,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x2 Rectangle Archetype ,24
317.39,3x3,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,2x1 Rhombus Archetype ,25
318.4447,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,24
318.8,3x3,2x3 Rectangle Sample Room Variant(Clone),2x3 Rectangle Archetype ,30,1x3 Rectangle Archetype ,25
319.3552,3x3,2x3 T Sample Room Variant(Clone),2x3 T Archetype ,25,1x3 Rectangle Archetype ,25
319.5512,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x3 T Archetype ,26
320.0927,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x3 T Archetype ,26
320.2495,3x3,2x3 T Sample Room Variant(Clone),2x3 T Archetype ,25,1x2 Rectangle Archetype ,27
320.7863,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,27
320.9958,3x3,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x2 Rectangle Archetype ,28
321.3419,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,2x1 Rhombus Archetype ,29
322.0525,3x3,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x3 Rectangle Archetype ,30
322.5856,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x2 L Archetype ,31
322.7951,3x3,2x2 Square Sample Room Variant(Clone),2x2 Square Archetype ,20,1x2 Rectangle Archetype ,32
323.495,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,32
323.8498,3x3,2x2 Triangle Sample Room Variant(Clone),2x2 Triangle Archetype ,20,1x2 Rectangle Archetype ,33
324.3948,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,33
324.5895,3x3,3x2 L Sample Room Variant(Clone),3x2 L Archetype ,50,1x2 Rectangle Archetype ,34
325.2921,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,34
325.6401,3x3,3x2 L Sample Room Variant(Clone),3x2 L Archetype ,50,1x3 Rectangle Archetype ,35
326.7401,3x3,3x2 L Sample Room Variant(Clone),3x2 L Archetype ,50,1x3 Rectangle Archetype ,35
328.3443,3x3,2x2 Triangle Sample Room Variant(Clone),2x2 Triangle Archetype ,20,2x2 Triangle Archetype ,34
330.8891,3x3,2x3 Rectangle Sample Room Variant(Clone),2x3 Rectangle Archetype ,30,1x3 Rectangle Archetype ,30
